"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:34 GMT 2024","120","test_api","PUT","TestApi","","","test_updating_resource_by_id_100",""
"failed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","43","test_api","PUT","TestApi","","","test_updating_resource_by_id_99",""
"failed","Wed Sep 04 16:52:35 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","58","test_api","PUT","TestApi","","","test_updating_resource_by_id_-1",""
"skipped","Wed Sep 04 16:52:35 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","128","test_api","DELETE","TestApi","","","test_delete_resource_by_id_99_and_check_it",""
"passed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:34 GMT 2024","82","test_api","PUT","TestApi","","","test_updating_resource_by_id_1",""
"passed","Wed Sep 04 16:52:52 GMT 2024","Wed Sep 04 16:52:58 GMT 2024","5516","test_ui","test_ui_page","TestDynamicPage","","","test_dynamic_page_example_2",""
"skipped","Wed Sep 04 16:52:35 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","97","test_api","DELETE","TestApi","","","test_delete_resource_by_id_10_and_check_it",""
"passed","Wed Sep 04 16:52:47 GMT 2024","Wed Sep 04 16:52:52 GMT 2024","5511","test_ui","test_ui_page","TestDynamicPage","","","test_dynamic_page_example_1",""
"passed","Wed Sep 04 16:52:35 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","174","test_api","DELETE","TestApi","","","test_delete_resource_by_id_-1_and_check_it",""
"passed","Wed Sep 04 16:52:46 GMT 2024","Wed Sep 04 16:52:46 GMT 2024","470","test_ui","test_ui_page","TestLoginPage","","","test_negative_login",""
"passed","Wed Sep 04 16:52:44 GMT 2024","Wed Sep 04 16:52:45 GMT 2024","1535","test_ui","test_ui_page","TestLoginPage","","","test_positive_login",""
"passed","Wed Sep 04 16:52:35 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","160","test_api","DELETE","TestApi","","","test_delete_resource_by_id_1000_and_check_it",""
"passed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:34 GMT 2024","83","test_api","PUT","TestApi","","","test_updating_resource_by_id_10",""
"skipped","Wed Sep 04 16:52:35 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","124","test_api","DELETE","TestApi","","","test_delete_resource_by_id_100_and_check_it",""
"passed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:34 GMT 2024","32","test_api","GET","TestApi","","","test_posts_keys",""
"failed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:34 GMT 2024","57","test_api","PUT","TestApi","","","test_updating_resource_by_id_1000",""
"passed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:34 GMT 2024","84","test_api","POST","TestApi","","","test_post_creating_resource",""
"passed","Wed Sep 04 16:52:34 GMT 2024","Wed Sep 04 16:52:34 GMT 2024","38","test_api","GET","TestApi","","","test_posts_by_id",""
"skipped","Wed Sep 04 16:52:35 GMT 2024","Wed Sep 04 16:52:35 GMT 2024","69","test_api","DELETE","TestApi","","","test_delete_resource_by_id_1_and_check_it",""
